"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2025";"65000 - Ministério das Mulheres";"65000 - Ministério das Mulheres - Unidades com vínculo direto";"17.828.406,90";"1.253.132,91";"0,00";"3.331.465,65";
"01/2025";"35000 - Ministério das Relações Exteriores";"35000 - Ministério das Relações Exteriores - Unidades com vínculo direto";"384.833.174,07";"99.244.882,33";"96.969.519,63";"99.436.956,47";
"01/2025";"32000 - Ministério de Minas e Energia";"32000 - Ministério de Minas e Energia - Unidades com vínculo direto";"179.375.935,67";"250.335,57";"246.027,47";"17.727.520,86";
"01/2025";"68000 - Ministério de Portos e Aeroportos";"68000 - Ministério de Portos e Aeroportos - Unidades com vínculo direto";"28.640.468,02";"2.666.122,72";"11.112,90";"3.918.098,49";
"01/2025";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar";"49000 - Ministério do Desenvolvimento Agrário e Agricultura Familiar - Unidades com vínculo direto";"4.037.481,95";"202.065,96";"112.737,68";"6.005.853,46";
"01/2025";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"55000 - Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"15.009.171.913,72";"13.731.193.451,28";"13.731.192.154,59";"100.332.919,57";
"01/2025";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços";"28000 - Ministério do Desenvolvimento, Indústria, Comércio e Serviços - Unidades com vínculo direto";"166.895.300,00";"16.036.054,39";"52.861,85";"14.739.632,66";
"01/2025";"51000 - Ministério do Esporte";"51000 - Ministério do Esporte - Unidades com vínculo direto";"38.965.341,77";"4.193.621,25";"1.074.886,07";"22.395.105,26";
"01/2025";"44000 - Ministério do Meio Ambiente e Mudança do Clima";"44000 - Ministério do Meio Ambiente e Mudança do Clima - Unidades com vínculo direto";"188.414.959,49";"9.254.520,14";"9.210.937,79";"20.877.977,95";
"01/2025";"47000 - Ministério do Planejamento e Orçamento";"47000 - Ministério do Planejamento e Orçamento - Unidades com vínculo direto";"593.535.704,33";"124.223.549,37";"101.856.038,20";"21.760.195,96";
"01/2025";"40000 - Ministério do Trabalho e Emprego";"40000 - Ministério do Trabalho e Emprego - Unidades com vínculo direto";"411.955.712,33";"95.029.168,40";"770.648,17";"137.269.815,61";
"01/2025";"54000 - Ministério do Turismo";"54000 - Ministério do Turismo - Unidades com vínculo direto";"72.607.650,56";"206.964,73";"182.956,22";"6.832.695,44";
"01/2025";"81000 - Ministério dos Direitos Humanos e Cidadania";"81000 - Ministério dos Direitos Humanos e Cidadania - Unidades com vínculo direto";"27.629.468,36";"2.852.319,57";"672.901,87";"11.405.599,30";
"01/2025";"84000 - Ministério dos Povos Indígenas";"84000 - Ministério dos Povos Indígenas - Unidades com vínculo direto";"13.950.100,00";"1.303.574,75";"0,00";"6.388.605,11";
"01/2025";"39000 - Ministério dos Transportes";"39000 - Ministério dos Transportes - Unidades com vínculo direto";"68.432.548,17";"1.980.487,73";"1.154.091,17";"15.410.646,72";
"01/2025";"32000 - Ministério de Minas e Energia";"20302 - Nuclebrás Equipamentos Pesados S.A.";"371.003.354,28";"15.862.539,62";"12.766.655,32";"26.018.828,20";
